persistent_fault_p,retries,n,success_rate,avg_propagation,avg_contained,avg_retry_attempts,unsafe_masked_rate,utility
0.05,0,5000,0.825,0.56,0,0,0.0,0.769
0.05,1,5000,0.9116,0.2074,0.4418,0.7376,0.0,0.87242
0.05,2,5000,0.9544,0.0826,0.6026,1.0256,0.0,0.9205
0.05,3,5000,0.9684,0.039,0.6666,1.1606,0.0054,0.933055
0.05,4,5000,0.9796,0.0224,0.6976,1.229,0.009,0.942585
0.05,6,5000,0.9832,0.0114,0.7166,1.2942,0.0134,0.943675
0.05,8,5000,0.9842,0.0076,0.7228,1.3296,0.0148,0.94354
0.25,0,5000,0.825,0.56,0,0,0.0,0.769
0.25,1,5000,0.8956,0.2642,0.369,0.7376,0.0,0.8507399999999999
0.25,2,5000,0.935,0.1474,0.5174,1.0958,0.0,0.892865
0.25,3,5000,0.9338,0.1012,0.5866,1.328,0.027,0.8783299999999999
0.25,4,5000,0.9346,0.076,0.6236,1.4678,0.0442,0.8704149999999999
0.25,6,5000,0.9268,0.0552,0.6562,1.6834,0.067,0.8490449999999999
0.25,8,5000,0.9242,0.0382,0.6764,1.8318,0.0736,0.841465
0.45,0,5000,0.825,0.56,0,0,0.0,0.769
0.45,1,5000,0.8804,0.32,0.298,0.7376,0.0,0.82996
0.45,2,5000,0.9124,0.2152,0.4254,1.1654,0.0,0.861745
0.45,3,5000,0.8958,0.17,0.4964,1.5014,0.0502,0.818675
0.45,4,5000,0.8868,0.1348,0.5446,1.7344,0.0818,0.79315
0.45,6,5000,0.867,0.1012,0.5936,2.105,0.1222,0.749265
0.45,8,5000,0.8606,0.0724,0.6232,2.3792,0.1354,0.73295
